Name,Version
IDPasswordMngrCredProvid,11.0.1
WFDC LOCKDOWN FOR WAVE,1
Teams,1.5.0.21463
DisplayLink Graphics,10.3.6400.0
Jabber,14.1.2.57135
.NET Desktop Runtime,6.0.6.31318
Horizon Client,8.6.0.29364
Workspace app for Windows,22.3.2000.2105
Zoom Plugin for VDI,5.13.23090
Jabber Softphone for VDI Client,14.1.2.57144
HDX RealTime Media Engine,2.9.100.2419
